All Programs,Alle Programme
POPUP_PARENTAL_CONFIRM,POPUP_PARENTAL_CONFIRM
POPUP_PARENTAL_ENTER_PIN,POPUP_PARENTAL_ENTER_PIN
POPUP_PARENTAL_MESSAGE,POPUP_PARENTAL_MESSAGE
POPUP_PARENTAL_TITLE,POPUP_PARENTAL_TITLE
POPUP_PROGRAM_DEVICE_NOT_AVAILABLE,This channel is not available on the current device
POPUP_PROGRAM_INFO_MESSAGE,This channel has no EPG
POPUP_PROGRAM_INFO_TITLE,Cannot open this channel
POPUP_PROGRAM_TOGGLE_RECORDING,recording
POPUP_PROGRAM_TOGGLE_REMINDER,reminder
POPUP_PROGRAM_WATCH,watch live
Pair to your Online TV decoder,Mit Ihrer Set-Top-Box verbinden
Planned,Geplant
Please enter pin code to rent {quality} quality for {price},Please enter pin code to rent {quality} quality for {price}
Please enter rental PIN,Bitte geben Sie Ihren Transaktions-PIN
Please enter your,Bitte geben Sie ein
Please enter your four digit,Bitte geben Sie hier Ihren vierstelligen Code ein
Popular movies,Meistgesehene Filme
Quality,Qualität
Recommendations,Empfehlungen
Record,Record
Recording Removal Popup Question,Are you sure you want to remove this recording?
Recording Removal Popup Title,Remove recording
Recordings,Aufnahmen
Register,Registrieren
Reminders,Erinnerungen
Remove recording,Aufnahme entfernen
Rent movie,Rent-Film
Rent {type} for {price},Rent {type} for {price}
Rental history,Rental history
Rental period,Mietzeitraum
Replay,Replay
Saturday,Samstag
Search,Suche...
Season,Season
Select the quality you want to look at,Select the quality you want to look at
Select the quality you want to rent,Select the quality you want to rent
September,September
Serie,Serie
Series,Serien
Silverlight is not supported,Silverlight is not supported
Sorry,Entschuldigung
Sorry the feature is not available,Wir bitten um Entschuldigung. Diese Funktion steht nicht zur Verfügung.
Sport,Sport
Sunday,Sonntag
TOD,TV On Demand
TV,TV
TV Gemist,Replay TV
TV Gids,TV Programm (EPG)
TV Guide,TV Programm (EPG)
TV on demand,Replay TV
TV recommendations,TV Empfehlungen
The following costs will be charged:,Im nächsten Schrift werden wir die Beträge wie folgt abbuchen:
This channel is not available on the current device,Dieser Kanal ist auf diesem Gerät leider nicht verfügbar
This content contains erotic material which is not suited for visitors younger then 18 years!,This content contains erotic material which is not suited for visitors younger then 18 years!
This episode is part of your {offer} offer. You can watch this episode unlimited times.,This episode is part of your {offer} offer. You can watch this episode unlimited times.
This episode is still available for you and can still be watched for {timeLeft}.,This episode is still available for you and can still be watched for {timeLeft}.
This movie is part of your {offer} offer. You can watch this movie unlimited times.,This movie is part of your {offer} offer. You can watch this movie unlimited times.
This movie is still available for you and can still be watched for {timeLeft}.,This movie is still available for you and can still be watched for {timeLeft}.
This program is not recorded yet,Dieses Programm wurde noch nicht aufgenommen.
This program is part of your {offer} offer. You can watch this program unlimited times.,This program is part of your {offer} offer. You can watch this program unlimited times.
This program is still available for you and can still be watched for {timeLeft}.,This program is still available for you and can still be watched for {timeLeft}.
Thursday,Donnerstag
Title,Titel
"To fully enjoy the interactive features, please login.","Um meinFernsehen vollständig nutzen zu können, melden Sie sich bitte mit Ihren Zugangsdaten an."
"To fully enjoy the interactive features, you can connect this PC portal you your account. Go on your TV decoder to:","Um das interaktive Angebot von meinFernsehen nutzen zu künnen, verbinden Sie bitte das PC Portal mit Ihrem meinFernsehen-Konto. Rufen Sie dafür bitte die folgende Seite auf Ihrer STB auf:"
Today,Heute
Tomorrow,Morgen
Tonight on TV,Heute Abend im TV!
Total price for 48h rental period,Gesamtsumme für 48h Leihen:
Trailer,Vorschau
Tuesday,Dienstag
Unable to playback Replay,Unable to playback Replay
VOD,Video Shop
VOD Erotic,Video Shop (Erotik)
Video On Demand,Video Shop
Watch {type},Watch {type}
Wednesday,Mittwoch
Year,Jahr
Yes,Ja
Yestarday,Yestarday
"Your browser does not support Silverlight player, please user another browser to watch this content.","Your browser does not support Silverlight player, please user another browser to watch this content."
Your reminders,Ihre Erinnerungen
add channel to TV favorites,diesen Sender zu TV Favoriten hinzufügen
add to bookmarks,zu Favoriten hinzufügen
alphabeticaly,alphabetisch
and,und
april,Apr
august,Aug
available,verfügbar
available for {timeLeft} hours,available for {timeLeft} hours
back,zurück
bookmark,Lesezeichen
cancel,Abbrechen
cast,cast
channel,Kanal
choices,choices
confirm,confirm
confirmation,confirmation
continue,continue
date,Datum
december,Dezember
enable 18+,18+ aktivieren
episode,episode
episodeCapital,Episode
featured TV channel,Empfehlungen TV Sender
february,Feb
friday,freitag
from,from
generated mobile services code,Einen Code für die mobilen Dienste generieren
gratis,gratis
hd,High definition (HD)
hours,Stunden
hours available,Stunden verfügbar
info,Informationen
informations,Informationen
january,Jan
july,Jul
june,Jun
live TV,TV Sender
logout,abmelden
march,Mär
may,Mai
message,Nachricht
minute,Minute
minutes,Minuten
monday,montag
month,monat
months,monate
movie,movie
movie rental overview text,"Sie haben 30 Tage Zeit, sich diesen Film anzusehen, Sobald die Wiedergabe gestartet wurde, haben Sie 48 Stunden Zeit, den Film zu beënden und/oder die Filmwiedergabe beliebig oft zu wiederholen"
movieCapital,Movie
my account,mein Konto
new VOD releases,Video Shop Neuheiten
new and channel,neu und Sender
newest,neueste
next on,als nächstes auf
november,Nov
now,Jetzt
october,Okt
or,oder
other episodes,andere Episoden
parental pin code to continue,Eingabe der Kindersicherungs-PIN um fortzufahren.
password,Passwort
payment PIN,Transaktions-PIN
please choose device to unpair before you pair this device,please choose device to unpair before you pair this device
price,Preis
program,program
programCapital,Programma
quality selection,quality selection
recording,Aufnahmen
reminder,Erinnerung
reminders,Erinnerungen
remove,remove
remove channel from TV favorites,diesen Sender von den TV Favoriten entfernen
remove from bookmarks,von Lesezeichen entfernen
remove recording,remove recording
results,Ergebnisse
results for,Suchergebnisse für
saturday,samstag
sd,Standard definition (SD)
see all,alle anzeigen
september,Sep
suggestions,Vorschläge
sunday,sonntag
thursday,donnerstag
today,heute
tomorrow,morgen
tonight,Heute Abend im TV!
tonight on TV,Heute Abend im TV!
tuesday,dienstag
userexpired,userexpired
username,E-Mailadresse
watch live,Live TV ansehen
watch trailer,Vorschau ansehen
wednesday,mittwoch
welcome,Willkommen
yesterday,Gestern
you have,Sie haben
{offer} offer,{offer} offer
